name,date_of_birth,date_of_death,cause_of_death,fame,age,sources,wikipedia_url
Pope John XII,c. 930/937,"May 14, 964",Apoplexy or murder by defenestration,Bishop of Rome,c. 27–34,[ 46 ],https://en.wikipedia.org/wiki/Pope_John_XII
François Proth,"March 22, 1852","January 21, 1879",Unknown,French mathematician,"26 years, 305 days",[ 46 ],https://en.wikipedia.org/wiki/Fran%C3%A7ois_Proth
Alfonso XII,"November 28, 1857","November 25, 1885",Tuberculosis and dysentery,King of Spain,"27 years, 362 days",[ 46 ],https://en.wikipedia.org/wiki/Alfonso_XII
Joseph Merrick,"August 5, 1862","April 11, 1890",Dislocated neck,Man with severe physical deformities,"27 years, 249 days",[ 47 ],https://en.wikipedia.org/wiki/Joseph_Merrick
Alexandre Levy,"November 10, 1864","January 17, 1892",Not recorded,"Composer, pianist and conductor","27 years, 68 days",[ 48 ],https://en.wikipedia.org/wiki/Alexandre_Levy
Louis Chauvin,"March 13, 1881","March 26, 1908",Neurosyphilitic sclerosis,Ragtime musician,"27 years, 13 days",[ 48 ],https://en.wikipedia.org/wiki/Louis_Chauvin
Alain-Fournier,"October 3, 1886","September 22, 1914",Killed in action,French author,"27 years, 354 days",[ 46 ],https://en.wikipedia.org/wiki/Alain-Fournier
Rupert Brooke,"August 3, 1887","April 23, 1915",Sepsis,Poet,"27 years, 263 days",[ 49 ],https://en.wikipedia.org/wiki/Rupert_Brooke
Henry Moseley,"November 23, 1887","August 10, 1915",Killed in action,English physicist,"27 years, 260 days",[ 46 ],https://en.wikipedia.org/wiki/Henry_Moseley
Robert Johnson,"May 8, 1911","August 16, 1938",Unknown,Blues singer and musician,"27 years, 100 days",[ 48 ] [ 42 ],https://en.wikipedia.org/wiki/Robert_Johnson
Ghazi of Iraq,"March 21, 1912","April 4, 1939","Traffic accident , probable murder .",King of Iraq 1933-1939,"27 years, 14 days",[ 50 ],https://en.wikipedia.org/wiki/Ghazi_of_Iraq
Nat Jaffe,"January 1, 1918","August 5, 1945",Complications from high blood pressure,Swing jazz pianist,"27 years, 216 days",[ 48 ],https://en.wikipedia.org/wiki/Nat_Jaffe
Camilo Cienfuegos,"February 6, 1932","October 28, 1959","Unknown, alleged plane crash",Cuban revolutionary,"27 years, 264 days",[ 51 ],https://en.wikipedia.org/wiki/Camilo_Cienfuegos
Jesse Belvin,"December 15, 1932","February 6, 1960","Car crash, suspected foul play","R&B singer, pianist and songwriter","27 years, 53 days",[ 48 ] [ 52 ],https://en.wikipedia.org/wiki/Jesse_Belvin
Rudy Lewis,"August 23, 1936","May 20, 1964",Drug overdose,Vocalist of the Drifters,"27 years, 271 days",[ 53 ],https://en.wikipedia.org/wiki/Rudy_Lewis
Joe Henderson,"April 24, 1937","October 24, 1964",Heart attack,R&B and gospel singer,"27 years, 183 days",[ 54 ],https://en.wikipedia.org/wiki/Joe_Henderson_(gospel_singer)
Malcolm Hale,"May 17, 1941","October 30, 1968",Carbon monoxide poisoning,Original member and lead guitarist of Spanky and Our Gang,"27 years, 166 days",[ 48 ],
Dickie Pride,"October 21, 1941","March 26, 1969",Drug overdose,Rock and roll singer,"27 years, 156 days",[ 55 ],https://en.wikipedia.org/wiki/Dickie_Pride
Brian Jones,"February 28, 1942","July 3, 1969",Drowning,"Rolling Stones founder, guitarist and multi-instrumentalist","27 years, 125 days",[ 48 ] [ 56 ] [ 57 ] [ 58 ],https://en.wikipedia.org/wiki/Brian_Jones
"Alan ""Blind Owl"" Wilson","July 4, 1943","September 3, 1970",Drug overdose,"Leader, singer and primary composer of Canned Heat","27 years, 61 days",[ 48 ],https://en.wikipedia.org/wiki/Alan_Wilson_(musician)
Jimi Hendrix,"November 27, 1942","September 18, 1970",Asphyxia due to drug use,"Pioneering electric guitarist, singer and songwriter of the Jimi Hendrix Experience and Band of Gypsys","27 years, 295 days",[ 48 ] [ 59 ],https://en.wikipedia.org/wiki/Jimi_Hendrix
Janis Joplin,"January 19, 1943","October 4, 1970",Drug overdose,"Lead vocalist and songwriter of Big Brother and the Holding Company , the Kozmic Blues Band and Full Tilt Boogie Band","27 years, 258 days",[ 48 ] [ 60 ] [ 61 ],https://en.wikipedia.org/wiki/Janis_Joplin
"Arlester ""Dyke"" Christian","June 13, 1943","March 13, 1971",Murder,"Frontman, vocalist and bassist of Dyke and the Blazers","27 years, 273 days",[ 48 ],
Leslie Harvey,"September 14, 1944","May 3, 1972",Electrocution,"Guitarist in several Scottish bands, most notably Stone the Crows .","27 years, 232 days",[ 48 ] [ 62 ],https://en.wikipedia.org/wiki/Leslie_Harvey
Jim Morrison,"December 8, 1943","July 3, 1971",Heart failure,"Singer, lyricist, and leader of the Doors","27 years, 207 days",[ 48 ] [ 63 ],https://en.wikipedia.org/wiki/Jim_Morrison
"Ron ""Pigpen"" McKernan","September 8, 1945","March 8, 1973",Gastrointestinal hemorrhage,"Founding member, keyboardist and singer of the Grateful Dead","27 years, 181 days",[ 48 ],https://en.wikipedia.org/wiki/Ron_%22Pigpen%22_McKernan
Roger Lee Durham,"February 14, 1946","July 27, 1973",Horseriding accident,Singer and percussionist of Bloodstone,"27 years, 163 days",[ 48 ],
Pamela Courson,"December 22, 1946","April 25, 1974",Drug overdose,Long-term companion of Jim Morrison and heir to his estate,"27 years, 124 days",[ 43 ] [ 64 ] [ 65 ],https://en.wikipedia.org/wiki/Pamela_Courson
"Wallace ""Wally"" Yohn","January 12, 1947","August 12, 1974",Plane crash,Organ player of Chase,"27 years, 212 days",[ 48 ],
Dave Alexander,"June 3, 1947","February 10, 1975",Pulmonary edema,Bassist of the Stooges,"27 years, 252 days",[ 48 ],https://en.wikipedia.org/wiki/Dave_Alexander_(musician)
Pete Ham,"April 27, 1947","April 24, 1975",Suicide,"Singer, songwriter, keyboardist and guitarist, leader of Badfinger","27 years, 362 days",[ 48 ],https://en.wikipedia.org/wiki/Pete_Ham
Gary Thain,"May 15, 1948","December 8, 1975",Drug overdose,Former bassist of Uriah Heep and the Keef Hartley Band,"27 years, 205 days",[ 48 ],https://en.wikipedia.org/wiki/Gary_Thain
Cecilia,"October 11, 1948","August 2, 1976",Car accident,Singer-songwriter,"27 years, 296 days",[ 66 ] [ 67 ],https://en.wikipedia.org/wiki/Cecilia_(Spanish_singer)
Helmut Köllen,"March 2, 1950","May 3, 1977",Carbon monoxide poisoning,Bassist of 1970s prog rock band Triumvirat,"27 years, 62 days",[ 48 ],https://en.wikipedia.org/wiki/Helmut_K%C3%B6llen
André Paiement,"June 28, 1950","January 23, 1978",Suicide,"Playwright and musician, member of progressive rock band CANO","27 years, 209 days",[ 68 ] [ 69 ],https://en.wikipedia.org/wiki/Andr%C3%A9_Paiement
Chris Bell,"January 12, 1951","December 27, 1978",Car accident,Singer-songwriter and guitarist of power pop band Big Star and solo,"27 years, 349 days",[ 48 ],https://en.wikipedia.org/wiki/Chris_Bell_(American_musician)
Zenon De Fleur,"September 9, 1951","March 17, 1979",Car accident,Guitarist of the Count Bishops,"27 years, 189 days",[ 54 ] [ 70 ],
D. Boon,"April 1, 1958","December 22, 1985",Car accident,"Guitarist, lead singer of punk band Minutemen","27 years, 266 days",[ 48 ],https://en.wikipedia.org/wiki/D._Boon
Alexander Bashlachev,"May 27, 1960","February 17, 1988","Defenestration , possible suicide","Poet, rock musician and songwriter","27 years, 266 days",[ 66 ],https://en.wikipedia.org/wiki/Alexander_Bashlachev
Amar Singh Chamkila,"July 21, 1960","March 8, 1988",Murder,"Singer, songwriter, musician, and composer","27 years, 231 days",[ 71 ],https://en.wikipedia.org/wiki/Amar_Singh_Chamkila
Jean-Michel Basquiat,"December 22, 1960","August 12, 1988",Drug overdose,Painter and graffiti artist; formed the band Gray,"27 years, 234 days",[ 53 ],https://en.wikipedia.org/wiki/Jean-Michel_Basquiat
Pete de Freitas,"August 2, 1961","June 14, 1989",Motorcycle accident,Drummer of Echo & the Bunnymen,"27 years, 316 days",[ 48 ],https://en.wikipedia.org/wiki/Pete_de_Freitas
Finbarr Donnelly,"April 25, 1962","June 18, 1989",Drowning,Singer of Five Go Down to the Sea?,"27 years, 50 days",[ 72 ],https://en.wikipedia.org/wiki/Finbarr_Donnelly
Chris Austin,"February 24, 1964","March 16, 1991",Plane crash,Country singer and guitarist/fiddle player for Reba McEntire,"27 years, 20 days",[ 73 ],https://en.wikipedia.org/wiki/Chris_Austin
Dimitar Voev,"May 21, 1965","September 5, 1992",Cancer,"Poet, founder of the Bulgarian new wave band New Generation","27 years, 107 days",[ 74 ],
Mia Zapata,"August 25, 1965","July 7, 1993",Murder,Lead singer of the Gits,"27 years, 316 days",[ 48 ],https://en.wikipedia.org/wiki/Mia_Zapata
Reggie Lewis,"November 21, 1965","July 27, 1993",Cardiac arrest,American professional basketball player,"27 years, 248 days",[ 46 ],https://en.wikipedia.org/wiki/Reggie_Lewis
