name,wikipedia_url,wikidata_id,birth_date,death_date,cause_of_death,manner_of_death,age_status,minimum_lifespan_days,maximum_lifespan_days,possible_age_range,leaf_occupations
Albertet,https://en.wikipedia.org/wiki/Albertet_de_Sestaro,Q1771493,1194,1221,,,possible,9505,10233,"26 years, 8 days to 28 years, 6 days",troubadour
Jacobus Vide,https://en.wikipedia.org/wiki/Jacobus_Vide,Q1345642,1405,1433,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",composer
Klemens Janicki,https://en.wikipedia.org/wiki/Klemens_Janicki,Q1774024,1516-11-27,1543,,,possible,9521,9885,"26 years, 25 days to 27 years, 24 days",lyricist
Tsarevich Ivan Ivanovich of Russia,https://en.wikipedia.org/wiki/Tsarevich_Ivan_Ivanovich_of_Russia,Q1353547,1554-04-07,1581-11-29,blunt trauma,homicide,confirmed,10098,10098,"27 years, 236 days",composer
Johannes Lippius,https://en.wikipedia.org/wiki/Johannes_Lippius,Q95700,1585-06-24,1612-09-24,,,confirmed,9954,9954,"27 years, 92 days",composer
Marusia Churai,https://en.wikipedia.org/wiki/Marusia_Churai,Q2497569,1625,1653,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",singer
Julie Pinel,https://en.wikipedia.org/wiki/Julie_Pinel,Q15433777,1710,1737,,,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",composer; harpsichordist
Richard Charke,https://en.wikipedia.org/wiki/Richard_Charke,Q15452249,1709,1737,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",composer; opera singer; violinist
John Holt,https://en.wikipedia.org/wiki/John_Holt_(composer),Q16252299,1726,1753,,,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",composer
Gustavus Waltz,https://en.wikipedia.org/wiki/Gustavus_Waltz,Q9282810,1732,1759,,,possible,9497,10226,"26 years, 1 day to 27 years, 364 days",composer; opera singer
Marie Baptiste,https://en.wikipedia.org/wiki/Marie_Baptiste,Q3292377,1733,1760,,,possible,9497,10226,"26 years, 1 day to 27 years, 365 days",opera singer
Anna Bon,https://en.wikipedia.org/wiki/Anna_Bon,Q440156,1738-08-11,1769,,,possible,11101,11465,"30 years, 143 days to 31 years, 142 days",composer; harpsichordist; opera singer
