name,description,wikipedia_url,wikidata_id,birth_date,death_date,cause_of_death,manner_of_death,age_status,minimum_lifespan_days,maximum_lifespan_days,possible_age_range,occupations,wikipedia_cause_of_death,wikipedia_cause_of_death_qids,wikipedia_manner_of_death,wikipedia_manner_of_death_qids,wikipedia_occupations,wikipedia_occupation_qids,wikipedia_death_review_status
Shirukduh,Elamite king,https://en.wikipedia.org/wiki/Shirukduh,Q4524293,-1799,-1771,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",,,,,,,,
Duke Dao of Jin,ruler of the state of Jin,https://en.wikipedia.org/wiki/Duke_Dao_of_Jin,Q985696,-0585,-0557,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",,,,,,,,
Duke Jian of Qin,ruler of Chinese state of Qin from 414 to 400 BC,https://en.wikipedia.org/wiki/Duke_Jian_of_Qin,Q553753,-0427,-0399,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",,,,,,,,
Apollocrates,son of the Syracusan tyrant Dionysius II,https://en.wikipedia.org/wiki/Apollocrates,Q350099,-0374,-0346,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",politician,,,,,,,
Dasaratha Maurya,Mauryan emperor from c.232 to c.224 BCE,https://en.wikipedia.org/wiki/Dasharatha_Maurya,Q538082,-0251,-0223,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",ruler,,,,,,,
Antiochus,Seleucid prince (221 BC–193 BC),https://en.wikipedia.org/wiki/Antiochus_(son_of_Antiochus_III_the_Great),Q2045778,-0220,-0192,,,possible,9861,10591,"27 years, 1 day to 28 years, 365 days",monarch,,,,,,,
Sedullos,1st-century BCE Gallic chief,https://en.wikipedia.org/wiki/Sedullos,Q3477642,-0079,-0051,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",war chief,,,,,,,
Arsinoe IV of Egypt,Queen of Ptolemaic Egypt from 48 BC to 47 BC,https://en.wikipedia.org/wiki/Arsinoe_IV,Q40013,-0067,-0040,,homicide,possible,9497,10226,"26 years, 1 day to 27 years, 365 days",queen regnant,,,,,,,
Attica,first wife of Marcus Agrippa,https://en.wikipedia.org/wiki/Attica_(wife_of_Agrippa),Q152626,-0054,-0027,,,possible,9500,10228,"26 years, 3 days to 28 years, 1 day",,,,,,,,
Alexander,"son of Herod, heir of Judea","https://en.wikipedia.org/wiki/Alexander,_son_of_Herod",Q2525263,-0034,-0006,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",aristocrat,,,,,,,
Messalina,Roman empress (c.AD 17/20–48); 3rd wife of Claudius,https://en.wikipedia.org/wiki/Messalina,Q229871,0020,0048,decapitation,capital punishment,possible,9862,10592,"27 years, 1 day to 28 years, 365 days",politician,,,,,,,
Persius,Roman poet and satirist (AD 34-62),https://en.wikipedia.org/wiki/Persius,Q332785,0034-12-02,0062-11-22,,,confirmed,10217,10217,"27 years, 355 days",philosopher; poet; writer,,,,,,,
Scorpus,Roman charioteer,https://en.wikipedia.org/wiki/Scorpus,Q7435425,0068,0095,,,possible,9497,10226,"26 years, 1 day to 27 years, 364 days",auriga,,,,,,,
Liu Qing,Chinese prince of the Han dynasty,https://en.wikipedia.org/wiki/Liu_Qing_(prince),Q711657,0078,0106,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",,,,,,,,
Bruttia Crispina,"Roman empress, consort of Commodus",https://en.wikipedia.org/wiki/Bruttia_Crispina,Q233578,0164,0191,,capital punishment,possible,9497,10226,"26 years, 1 day to 27 years, 364 days",consort,,,,,,,
Sun Chen,Eastern Wu general and regent (232-259),https://en.wikipedia.org/wiki/Sun_Chen,Q1207638,0232,0259-01-18,decapitation,capital punishment,possible,9514,9879,"26 years, 18 days to 27 years, 17 days",politician,,,,,,,
Sima Yun,son of Emperor Wu of Jin,https://en.wikipedia.org/wiki/Sima_Yun,Q10916600,0272,0300,,,possible,9862,10591,"27 years, 1 day to 28 years, 364 days",,,,,,,,
Saint George,Christian saint and martyr (died 303),https://en.wikipedia.org/wiki/Saint_George,Q48438,0275,0303-04-24,decapitation,capital punishment,possible,9976,10340,"27 years, 114 days to 28 years, 113 days",dragonslayer; thaumaturge; warrior,,,,,,,
Sima Ai,Jin Dynasty imperial prince,https://en.wikipedia.org/wiki/Sima_Ai,Q3276223,0277,0304,death by burning,capital punishment,possible,9497,10226,"26 years, 1 day to 27 years, 365 days",military leader,,,,,,,
Sima Ying,"Imperial prince, regent, crown prince and general (279-306)",https://en.wikipedia.org/wiki/Sima_Ying,Q985721,0279,0306-10,,capital punishment; suicide,possible,9771,10165,"26 years, 274 days to 27 years, 303 days",politician,,,,,,,
Murong Chong,Chinese emperor,https://en.wikipedia.org/wiki/Murong_Chong,Q1074358,0359,0386,,,possible,9499,10227,"26 years, 2 days to 28 years, 0 days",military leader,,,,,,,
Consort Chen Guinü,Chinese Empress,https://en.wikipedia.org/wiki/Chen_Guin%C3%BC,Q1054232,0362,0390,,,possible,9862,10590,"27 years, 0 days to 28 years, 363 days",,,,,,,,
Neoterius,politician,https://en.wikipedia.org/wiki/Neoterius,Q953290,0365,0393,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",politician,,,,,,,
Murong Sheng,Emperor Zhaowu of Later Yan,https://en.wikipedia.org/wiki/Murong_Sheng,Q1078573,0373,0401,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",monarch,,,,,,,
Empress Wang Shen'ai,Jin Dynasty empress,https://en.wikipedia.org/wiki/Wang_Shen%27ai,Q2194004,0384,0412,,,possible,9862,10592,"27 years, 1 day to 28 years, 365 days",calligrapher,,,,,,,
Liu Shao,Chinese emperor of the Liu Song dynasty,https://en.wikipedia.org/wiki/Liu_Shao_(Liu_Song),Q717895,0426,0453,,capital punishment,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",,,,,,,,
Gao Cheng,Chinese emperor,https://en.wikipedia.org/wiki/Gao_Cheng,Q712573,0521,0549,,homicide,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",military personnel,,,,,,,
Xiao Daqi,Liang Dynasty imperial prince (524-551),https://en.wikipedia.org/wiki/Xiao_Daqi,Q1080118,0524,0551,,,possible,9497,10226,"26 years, 1 day to 27 years, 364 days",politician,,,,,,,
Aurelianus of Arles,French saint and archbishop,https://en.wikipedia.org/wiki/Aurelianus_of_Arles,Q2263241,0523,0551-06-16,,,possible,10029,10393,"27 years, 167 days to 28 years, 166 days",Catholic priest; writer,,,,,,,
Emperor Xiaojing of Eastern Wei,Emperor of Eastern Wei from 534 to 550,https://en.wikipedia.org/wiki/Emperor_Xiaojing_of_Eastern_Wei,Q1149239,0524,0552,,homicide,possible,9862,10592,"27 years, 1 day to 28 years, 365 days",,,,,,,,
Consort Chen,daughter of Emperor Xuan of Chen,https://en.wikipedia.org/wiki/Consort_Chen_(Sui_dynasty),Q698584,0577,0605,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",,,,,,,,
Dagobert I,Frankish king,https://en.wikipedia.org/wiki/Dagobert_I,Q109860,0611,0639-01-19; 0639-01-22,,natural causes,possible,9878,10248,"27 years, 16 days to 28 years, 21 days",monarch,,,,,,,
Muhammad ibn Abi Bakr,Muslim general (631-658),https://en.wikipedia.org/wiki/Muhammad_ibn_Abi_Bakr,Q1112754,0631,0658,killing,homicide,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",military leader; wali,,,,,,,
Princess Xincheng,"princess of tang dynasty, born 634",https://en.wikipedia.org/wiki/Princess_Xincheng,Q4310113,0634,0662,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",,,,,,,,
Dagobert II,Frankish king,https://en.wikipedia.org/wiki/Dagobert_II,Q316874,0652,0679-12-26,,,possible,9856,10221,"26 years, 360 days to 27 years, 359 days",monarch,,,,,,,
Prince Kusakabe,Japanese prince,https://en.wikipedia.org/wiki/Prince_Kusakabe,Q1046438,0662,0689-05-10,,,possible,9627,9991,"26 years, 130 days to 27 years, 129 days",poet,,,,,,,
Yahya ibn Zayd,son of Zayd ibn Ali,https://en.wikipedia.org/wiki/Yahya_ibn_Zayd,Q5954929,0715,0743,,,possible,9859,10587,"26 years, 362 days to 28 years, 360 days",imam; revolutionary,,,,,,,
Khurshid of Tabaristan,8th-century Ispahbadh of Tabaristan,https://en.wikipedia.org/wiki/Khurshid_of_Tabaristan,Q3612968,0734,0761,intoxication,suicide,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",regent,,,,,,,
Li Miao,Tang dynasty prince,https://en.wikipedia.org/wiki/Li_Miao_(Tang_dynasty),Q11098154,0746,0773-06-11,,,possible,9659,10023,"26 years, 162 days to 27 years, 161 days",military personnel,,,,,,,
Konstantinos VI,Byzantine Emperor (771-802),https://en.wikipedia.org/wiki/Constantine_VI,Q41661,0771-01-18,0798,,,possible,9845,10209,"26 years, 348 days to 27 years, 347 days",politician,,,,,,,
Li Shigu,Chinese jiedushi,https://en.wikipedia.org/wiki/Li_Shigu,Q370805,0778,0806,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",military personnel,,,,,,,
Nagabhata II,Rajput ruler of the Gurjara-Pratihar empire,https://en.wikipedia.org/wiki/Nagabhata_II,Q6958310,0805,0833,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",king,,,,,,,
Muhammad al-Taqi,Ninth Ismaili Imam (790–840),https://en.wikipedia.org/wiki/Muhammad_al-Taqi,Q4119345,0813,0840,,,possible,9497,10226,"26 years, 1 day to 27 years, 365 days",,,,,,,,
Li Rong,Tang Dynasty prince,https://en.wikipedia.org/wiki/Li_Rong_(prince),Q6539037,0812,0840-02-12,,capital punishment; suicide,possible,9904,10269,"27 years, 43 days to 28 years, 42 days",politician,,,,,,,
